exp	model	Grammaticality	Clause	count	mean_ci_lower	mean	mean_ci_upper	ContainsZero	direction	Training Type	Model Size
exp1	DialoGPT-large	gram	appos	48	0.0676	0.1107	0.1543	no	positive	Dialogue	762M
exp1	DialoGPT-large	gram	restr	48	0.1298	0.1918	0.2536	no	positive	Dialogue	762M
exp1	DialoGPT-large	ungram	appos	48	-0.6682	-0.5795	-0.4925	no	negative	Dialogue	762M
exp1	DialoGPT-large	ungram	restr	48	-1.0517	-0.9159	-0.7885	no	negative	Dialogue	762M
exp1	DialoGPT-medium	gram	appos	48	0.0134	0.0576	0.1006	no	positive	Dialogue	345M
exp1	DialoGPT-medium	gram	restr	48	0.0958	0.1478	0.198	no	positive	Dialogue	345M
exp1	DialoGPT-medium	ungram	appos	48	-0.7621	-0.6466	-0.5288	no	negative	Dialogue	345M
exp1	DialoGPT-medium	ungram	restr	48	-1.1413	-0.9884	-0.8175	no	negative	Dialogue	345M
exp1	DialoGPT-small	gram	appos	48	-0.3364	-0.1744	-0.0011	no	negative	Dialogue	117M
exp1	DialoGPT-small	gram	restr	48	-0.1435	-0.0324	0.0872	yes	negative	Dialogue	117M
exp1	DialoGPT-small	ungram	appos	48	-2.0528	-1.6357	-1.2742	no	negative	Dialogue	117M
exp1	DialoGPT-small	ungram	restr	48	-2.7978	-2.397	-2.0497	no	negative	Dialogue	117M
exp1	GODEL-base	gram	appos	48	-0.0247	-0.0038	0.0166	yes	negative	Dialogue	220M
exp1	GODEL-base	gram	restr	48	-0.0173	0.0183	0.0537	yes	positive	Dialogue	220M
exp1	GODEL-base	ungram	appos	48	-0.3815	-0.3233	-0.2726	no	negative	Dialogue	220M
exp1	GODEL-base	ungram	restr	48	-0.7114	-0.617	-0.5144	no	negative	Dialogue	220M
exp1	GODEL-large	gram	appos	48	-0.0247	-0.0038	0.0176	yes	negative	Dialogue	770M
exp1	GODEL-large	gram	restr	48	-0.0199	0.0183	0.0568	yes	positive	Dialogue	770M
exp1	GODEL-large	ungram	appos	48	-0.382	-0.3233	-0.2734	no	negative	Dialogue	770M
exp1	GODEL-large	ungram	restr	48	-0.7143	-0.617	-0.5178	no	negative	Dialogue	770M
exp1	GPT-J-6B	gram	appos	48	-0.2013	-0.1258	-0.0502	no	negative	Plain	6B
exp1	GPT-J-6B	gram	restr	48	-0.2787	-0.1905	-0.1029	no	negative	Plain	6B
exp1	GPT-J-6B	ungram	appos	48	-1.4557	-1.2602	-1.0508	no	negative	Plain	6B
exp1	GPT-J-6B	ungram	restr	48	-1.9004	-1.6308	-1.3715	no	negative	Plain	6B
exp1	GPT-Neo-1.3B	gram	appos	48	-0.1215	-0.0704	-0.0225	no	negative	Plain	1.3B
exp1	GPT-Neo-1.3B	gram	restr	48	-0.0625	0.019	0.0995	yes	positive	Plain	1.3B
exp1	GPT-Neo-1.3B	ungram	appos	48	-1.0438	-0.8219	-0.6225	no	negative	Plain	1.3B
exp1	GPT-Neo-1.3B	ungram	restr	48	-1.3533	-1.1495	-0.9043	no	negative	Plain	1.3B
exp1	GPT-Neo-125m	gram	appos	48	-0.0996	-0.0651	-0.0314	no	negative	Plain	125M
exp1	GPT-Neo-125m	gram	restr	48	-0.0237	0.0553	0.1407	yes	positive	Plain	125M
exp1	GPT-Neo-125m	ungram	appos	48	-1.0521	-0.8851	-0.7369	no	negative	Plain	125M
