ItemNo,Clause,Distractor,Grammaticality,Condition,Question,Answer,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13
1,appos,plural,gram,e.appos.plural.gram,Was the waitress unhappy about all the noise?,yes,"The_waitress,",who,sat,near,"the_girls,",unsurprisingly,was,unhappy,about,all,the_noise.,,
1,appos,singular,gram,e.appos.singular.gram,Was the waitress unhappy about all the noise?,yes,"The_waitress,",who,sat,near,"the_girl,",unsurprisingly,was,unhappy,about,all,the_noise.,,
1,appos,plural,ungram,e.appos.plural.ungram,Was the waitress unhappy about all the noise?,yes,"The_waitress,",who,sat,near,"the_girls,",unsurprisingly,were,unhappy,about,all,the_noise.,,
1,appos,singular,ungram,e.appos.singular.ungram,Was the waitress unhappy about all the noise?,yes,"The_waitress,",who,sat,near,"the_girl,",unsurprisingly,were,unhappy,about,all,the_noise.,,
1,restr,plural,gram,e.restr.plural.gram,Was the waitress unhappy about all the noise?,yes,The_waitress,who,sat,near,the_girls,unsurprisingly,was,unhappy,about,all,the_noise.,,
1,restr,singular,gram,e.restr.singular.gram,Was the waitress unhappy about all the noise?,yes,The_waitress,who,sat,near,the_girl,unsurprisingly,was,unhappy,about,all,the_noise.,,
1,restr,plural,ungram,e.restr.plural.ungram,Was the waitress unhappy about all the noise?,yes,The_waitress,who,sat,near,the_girls,unsurprisingly,were,unhappy,about,all,the_noise.,,
1,restr,singular,ungram,e.restr.singular.ungram,Was the waitress unhappy about all the noise?,yes,The_waitress,who,sat,near,the_girl,unsurprisingly,were,unhappy,about,all,the_noise.,,
2,appos,plural,gram,e.appos.plural.gram,Was the dog covered in leaves?,no,"The_dog,",which,dug,in,"the_holes,",unfortunately,was,covered,in,mud,all,over.,
2,appos,singular,gram,e.appos.singular.gram,Was the dog covered in leaves?,no,"The_dog,",which,dug,in,"the_hole,",unfortunately,was,covered,in,mud,all,over.,
2,appos,plural,ungram,e.appos.plural.ungram,Was the dog covered in leaves?,no,"The_dog,",which,dug,in,"the_holes,",unfortunately,were,covered,in,mud,all,over.,
2,appos,singular,ungram,e.appos.singular.ungram,Was the dog covered in leaves?,no,"The_dog,",which,dug,in,"the_hole,",unfortunately,were,covered,in,mud,all,over.,
2,restr,plural,gram,e.restr.plural.gram,Was the dog covered in leaves?,no,The_dog,which,dug,in,the_holes,unfortunately,was,covered,in,mud,all,over.,
2,restr,singular,gram,e.restr.singular.gram,Was the dog covered in leaves?,no,The_dog,which,dug,in,the_hole,unfortunately,was,covered,in,mud,all,over.,
2,restr,plural,ungram,e.restr.plural.ungram,Was the dog covered in leaves?,no,The_dog,which,dug,in,the_holes,unfortunately,were,covered,in,mud,all,over.,
2,restr,singular,ungram,e.restr.singular.ungram,Was the dog covered in leaves?,no,The_dog,which,dug,in,the_hole,unfortunately,were,covered,in,mud,all,over.,
3,appos,plural,gram,e.appos.plural.gram,Was the boy more competitive than ever before?,yes,"The_boy,",who,played,in,"the_games,",apparently,was,more,competitive,than,ever,before.,
3,appos,singular,gram,e.appos.singular.gram,Was the boy more competitive than ever before?,yes,"The_boy,",who,played,in,"the_game,",apparently,was,more,competitive,than,ever,before.,
3,appos,plural,ungram,e.appos.plural.ungram,Was the boy more competitive than ever before?,yes,"The_boy,",who,played,in,"the_games,",apparently,were,more,competitive,than,ever,before.,
3,appos,singular,ungram,e.appos.singular.ungram,Was the boy more competitive than ever before?,yes,"The_boy,",who,played,in,"the_game,",apparently,were,more,competitive,than,ever,before.,
3,restr,plural,gram,e.restr.plural.gram,Was the boy more competitive than ever before?,yes,The_boy,who,played,in,the_games,apparently,was,more,competitive,than,ever,before.,
3,restr,singular,gram,e.restr.singular.gram,Was the boy more competitive than ever before?,yes,The_boy,who,played,in,the_game,apparently,was,more,competitive,than,ever,before.,
3,restr,plural,ungram,e.restr.plural.ungram,Was the boy more competitive than ever before?,yes,The_boy,who,played,in,the_games,apparently,were,more,competitive,than,ever,before.,
3,restr,singular,ungram,e.restr.singular.ungram,Was the boy more competitive than ever before?,yes,The_boy,who,played,in,the_game,apparently,were,more,competitive,than,ever,before.,
4,appos,plural,gram,e.appos.plural.gram,Was the mom excited by the bickering in the car?,no,"The_mom,",who,drove,with,"the_kids,",unsurprisingly,was,tired,of,all,the_bickering,in,the_car.
4,appos,singular,gram,e.appos.singular.gram,Was the mom excited by the bickering in the car?,no,"The_mom,",who,drove,with,"the_kid,",unsurprisingly,was,tired,of,all,the_bickering,in,the_car.
4,appos,plural,ungram,e.appos.plural.ungram,Was the mom excited by the bickering in the car?,no,"The_mom,",who,drove,with,"the_kids,",unsurprisingly,were,tired,of,all,the_bickering,in,the_car.
4,appos,singular,ungram,e.appos.singular.ungram,Was the mom excited by the bickering in the car?,no,"The_mom,",who,drove,with,"the_kid,",unsurprisingly,were,tired,of,all,the_bickering,in,the_car.
4,restr,plural,gram,e.restr.plural.gram,Was the mom excited by the bickering in the car?,no,The_mom,who,drove,with,the_kids,unsurprisingly,was,tired,of,all,the_bickering,in,the_car.
