ItemNo	Clause	Distractor	Grammaticality	Condition	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	sentence	model	surp	modelname	exp
1	restr	plural	gram	e.restr.plural.gram	The	runners	who	the	driver	sees	during	the	commute	every	morning	always	wave	to	say	hi.					The runners who the driver sees	DialoGPT-large	14.173012733459473	microsoft/DialoGPT-large	exp2
1	restr	singular	gram	e.restr.singular.gram	The	runner	who	the	driver	sees	during	the	commute	every	morning	always	waves	to	say	hi.					The runner who the driver sees	DialoGPT-large	13.825931549072266	microsoft/DialoGPT-large	exp2
1	restr	plural	ungram	e.restr.plural.ungram	The	runners	who	the	driver	see	during	the	commute	every	morning	always	wave	to	say	hi.					The runners who the driver see	DialoGPT-large	15.432074546813965	microsoft/DialoGPT-large	exp2
1	restr	singular	ungram	e.restr.singular.ungram	The	runner	who	the	driver	see	during	the	commute	every	morning	always	waves	to	say	hi.					The runner who the driver see	DialoGPT-large	15.340435981750488	microsoft/DialoGPT-large	exp2
1	appos	plural	gram	e.appos.plural.gram	The	runners,	who	the	driver	sees	during	the	commute	every	morning,	always	wave	to	say	hi.					The runners, who the driver sees	DialoGPT-large	14.305493354797363	microsoft/DialoGPT-large	exp2
1	appos	singular	gram	e.appos.singular.gram	The	runner,	who	the	driver	sees	during	the	commute	every	morning,	always	waves	to	say	hi.					The runner, who the driver sees	DialoGPT-large	15.032674789428713	microsoft/DialoGPT-large	exp2
1	appos	plural	ungram	e.appos.plural.ungram	The	runners,	who	the	driver	see	during	the	commute	every	morning,	always	wave	to	say	hi.					The runners, who the driver see	DialoGPT-large	15.36301326751709	microsoft/DialoGPT-large	exp2
1	appos	singular	ungram	e.appos.singular.ungram	The	runner,	who	the	driver	see	during	the	commute	every	morning,	always	waves	to	say	hi.					The runner, who the driver see	DialoGPT-large	15.495635032653809	microsoft/DialoGPT-large	exp2
2	restr	plural	gram	e.restr.plural.gram	The	industrialists	who	the	activist	criticizes	harshly	always	put	profit	above	concern	for	the	environment.						The industrialists who the activist criticizes	DialoGPT-large	13.13888794183731	microsoft/DialoGPT-large	exp2
2	restr	singular	gram	e.restr.singular.gram	The	industrialist	who	the	activist	criticizes	harshly	always	puts	profit	above	concern	for	the	environment.						The industrialist who the activist criticizes	DialoGPT-large	12.28767853975296	microsoft/DialoGPT-large	exp2
2	restr	plural	ungram	e.restr.plural.ungram	The	industrialists	who	the	activist	criticize	harshly	always	put	profit	above	concern	for	the	environment.						The industrialists who the activist criticize	DialoGPT-large	16.14143943786621	microsoft/DialoGPT-large	exp2
2	restr	singular	ungram	e.restr.singular.ungram	The	industrialist	who	the	activist	criticize	harshly	always	puts	profit	above	concern	for	the	environment.						The industrialist who the activist criticize	DialoGPT-large	16.401033401489258	microsoft/DialoGPT-large	exp2
2	appos	plural	gram	e.appos.plural.gram	The	industrialists,	who	the	activist	criticizes	harshly,	always	put	profit	above	concern	for	the	environment.						The industrialists, who the activist criticizes	DialoGPT-large	13.53987592458725	microsoft/DialoGPT-large	exp2
2	appos	singular	gram	e.appos.singular.gram	The	industrialist,	who	the	activist	criticizes	harshly,	always	puts	profit	above	concern	for	the	environment.						The industrialist, who the activist criticizes	DialoGPT-large	12.869797050952911	microsoft/DialoGPT-large	exp2
2	appos	plural	ungram	e.appos.plural.ungram	The	industrialists,	who	the	activist	criticize	harshly,	always	put	profit	above	concern	for	the	environment.						The industrialists, who the activist criticize	DialoGPT-large	16.0371036529541	microsoft/DialoGPT-large	exp2
