ItemNo	Clause	Distractor	Grammaticality	Condition	Question	Answer	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	sentence	model	surp	modelname	exp
1	appos	plural	gram	e.appos.plural.gram	Was the waitress unhappy about all the noise?	yes	The_waitress,	who	sat	near	the_girls,	unsurprisingly	was	unhappy	about	all	the_noise.			The waitress, who sat near the girls, unsurprisingly was	GPT-J-6B	5.320671558380127	EleutherAI/gpt-j-6b	exp1
1	appos	singular	gram	e.appos.singular.gram	Was the waitress unhappy about all the noise?	yes	The_waitress,	who	sat	near	the_girl,	unsurprisingly	was	unhappy	about	all	the_noise.			The waitress, who sat near the girl, unsurprisingly was	GPT-J-6B	5.770542621612549	EleutherAI/gpt-j-6b	exp1
1	appos	plural	ungram	e.appos.plural.ungram	Was the waitress unhappy about all the noise?	yes	The_waitress,	who	sat	near	the_girls,	unsurprisingly	were	unhappy	about	all	the_noise.			The waitress, who sat near the girls, unsurprisingly were	GPT-J-6B	15.16030216217041	EleutherAI/gpt-j-6b	exp1
1	appos	singular	ungram	e.appos.singular.ungram	Was the waitress unhappy about all the noise?	yes	The_waitress,	who	sat	near	the_girl,	unsurprisingly	were	unhappy	about	all	the_noise.			The waitress, who sat near the girl, unsurprisingly were	GPT-J-6B	16.686559677124023	EleutherAI/gpt-j-6b	exp1
1	restr	plural	gram	e.restr.plural.gram	Was the waitress unhappy about all the noise?	yes	The_waitress	who	sat	near	the_girls	unsurprisingly	was	unhappy	about	all	the_noise.			The waitress who sat near the girls unsurprisingly was	GPT-J-6B	5.616549491882324	EleutherAI/gpt-j-6b	exp1
1	restr	singular	gram	e.restr.singular.gram	Was the waitress unhappy about all the noise?	yes	The_waitress	who	sat	near	the_girl	unsurprisingly	was	unhappy	about	all	the_noise.			The waitress who sat near the girl unsurprisingly was	GPT-J-6B	6.221136569976807	EleutherAI/gpt-j-6b	exp1
1	restr	plural	ungram	e.restr.plural.ungram	Was the waitress unhappy about all the noise?	yes	The_waitress	who	sat	near	the_girls	unsurprisingly	were	unhappy	about	all	the_noise.			The waitress who sat near the girls unsurprisingly were	GPT-J-6B	13.579548835754396	EleutherAI/gpt-j-6b	exp1
1	restr	singular	ungram	e.restr.singular.ungram	Was the waitress unhappy about all the noise?	yes	The_waitress	who	sat	near	the_girl	unsurprisingly	were	unhappy	about	all	the_noise.			The waitress who sat near the girl unsurprisingly were	GPT-J-6B	15.671916007995604	EleutherAI/gpt-j-6b	exp1
2	appos	plural	gram	e.appos.plural.gram	Was the dog covered in leaves?	no	The_dog,	which	dug	in	the_holes,	unfortunately	was	covered	in	mud	all	over.		The dog, which dug in the holes, unfortunately was	GPT-J-6B	4.1553473472595215	EleutherAI/gpt-j-6b	exp1
2	appos	singular	gram	e.appos.singular.gram	Was the dog covered in leaves?	no	The_dog,	which	dug	in	the_hole,	unfortunately	was	covered	in	mud	all	over.		The dog, which dug in the hole, unfortunately was	GPT-J-6B	4.638993263244629	EleutherAI/gpt-j-6b	exp1
2	appos	plural	ungram	e.appos.plural.ungram	Was the dog covered in leaves?	no	The_dog,	which	dug	in	the_holes,	unfortunately	were	covered	in	mud	all	over.		The dog, which dug in the holes, unfortunately were	GPT-J-6B	12.078898429870604	EleutherAI/gpt-j-6b	exp1
2	appos	singular	ungram	e.appos.singular.ungram	Was the dog covered in leaves?	no	The_dog,	which	dug	in	the_hole,	unfortunately	were	covered	in	mud	all	over.		The dog, which dug in the hole, unfortunately were	GPT-J-6B	14.782943725585938	EleutherAI/gpt-j-6b	exp1
2	restr	plural	gram	e.restr.plural.gram	Was the dog covered in leaves?	no	The_dog	which	dug	in	the_holes	unfortunately	was	covered	in	mud	all	over.		The dog which dug in the holes unfortunately was	GPT-J-6B	3.553807258605957	EleutherAI/gpt-j-6b	exp1
2	restr	singular	gram	e.restr.singular.gram	Was the dog covered in leaves?	no	The_dog	which	dug	in	the_hole	unfortunately	was	covered	in	mud	all	over.		The dog which dug in the hole unfortunately was	GPT-J-6B	3.7338881492614746	EleutherAI/gpt-j-6b	exp1
2	restr	plural	ungram	e.restr.plural.ungram	Was the dog covered in leaves?	no	The_dog	which	dug	in	the_holes	unfortunately	were	covered	in	mud	all	over.		The dog which dug in the holes unfortunately were	GPT-J-6B	11.342105865478516	EleutherAI/gpt-j-6b	exp1
2	restr	singular	ungram	e.restr.singular.ungram	Was the dog covered in leaves?	no	The_dog	which	dug	in	the_hole	unfortunately	were	covered	in	mud	all	over.		The dog which dug in the hole unfortunately were	GPT-J-6B	13.78766918182373	EleutherAI/gpt-j-6b	exp1
3	appos	plural	gram	e.appos.plural.gram	Was the boy more competitive than ever before?	yes	The_boy,	who	played	in	the_games,	apparently	was	more	competitive	than	ever	before.		The boy, who played in the games, apparently was	GPT-J-6B	3.7423386573791504	EleutherAI/gpt-j-6b	exp1
3	appos	singular	gram	e.appos.singular.gram	Was the boy more competitive than ever before?	yes	The_boy,	who	played	in	the_game,	apparently	was	more	competitive	than	ever	before.		The boy, who played in the game, apparently was	GPT-J-6B	3.757619380950928	EleutherAI/gpt-j-6b	exp1
3	appos	plural	ungram	e.appos.plural.ungram	Was the boy more competitive than ever before?	yes	The_boy,	who	played	in	the_games,	apparently	were	more	competitive	than	ever	before.		The boy, who played in the games, apparently were	GPT-J-6B	14.416027069091797	EleutherAI/gpt-j-6b	exp1
3	appos	singular	ungram	e.appos.singular.ungram	Was the boy more competitive than ever before?	yes	The_boy,	who	played	in	the_game,	apparently	were	more	competitive	than	ever	before.		The boy, who played in the game, apparently were	GPT-J-6B	15.88527488708496	EleutherAI/gpt-j-6b	exp1
3	restr	plural	gram	e.restr.plural.gram	Was the boy more competitive than ever before?	yes	The_boy	who	played	in	the_games	apparently	was	more	competitive	than	ever	before.		The boy who played in the games apparently was	GPT-J-6B	3.763901472091675	EleutherAI/gpt-j-6b	exp1
3	restr	singular	gram	e.restr.singular.gram	Was the boy more competitive than ever before?	yes	The_boy	who	played	in	the_game	apparently	was	more	competitive	than	ever	before.		The boy who played in the game apparently was	GPT-J-6B	3.9220666885375977	EleutherAI/gpt-j-6b	exp1
3	restr	plural	ungram	e.restr.plural.ungram	Was the boy more competitive than ever before?	yes	The_boy	who	played	in	the_games	apparently	were	more	competitive	than	ever	before.		The boy who played in the games apparently were	GPT-J-6B	13.479551315307615	EleutherAI/gpt-j-6b	exp1
3	restr	singular	ungram	e.restr.singular.ungram	Was the boy more competitive than ever before?	yes	The_boy	who	played	in	the_game	apparently	were	more	competitive	than	ever	before.		The boy who played in the game apparently were	GPT-J-6B	15.029691696166992	EleutherAI/gpt-j-6b	exp1
4	appos	plural	gram	e.appos.plural.gram	Was the mom excited by the bickering in the car?	no	The_mom,	who	drove	with	the_kids,	unsurprisingly	was	tired	of	all	the_bickering	in	the_car.	The mom, who drove with the kids, unsurprisingly was	GPT-J-6B	4.327166557312012	EleutherAI/gpt-j-6b	exp1
4	appos	singular	gram	e.appos.singular.gram	Was the mom excited by the bickering in the car?	no	The_mom,	who	drove	with	the_kid,	unsurprisingly	was	tired	of	all	the_bickering	in	the_car.	The mom, who drove with the kid, unsurprisingly was	GPT-J-6B	4.334380626678467	EleutherAI/gpt-j-6b	exp1
4	appos	plural	ungram	e.appos.plural.ungram	Was the mom excited by the bickering in the car?	no	The_mom,	who	drove	with	the_kids,	unsurprisingly	were	tired	of	all	the_bickering	in	the_car.	The mom, who drove with the kids, unsurprisingly were	GPT-J-6B	13.699048042297363	EleutherAI/gpt-j-6b	exp1
4	appos	singular	ungram	e.appos.singular.ungram	Was the mom excited by the bickering in the car?	no	The_mom,	who	drove	with	the_kid,	unsurprisingly	were	tired	of	all	the_bickering	in	the_car.	The mom, who drove with the kid, unsurprisingly were	GPT-J-6B	14.202189445495604	EleutherAI/gpt-j-6b	exp1
4	restr	plural	gram	e.restr.plural.gram	Was the mom excited by the bickering in the car?	no	The_mom	who	drove	with	the_kids	unsurprisingly	was	tired	of	all	the_bickering	in	the_car.	The mom who drove with the kids unsurprisingly was	GPT-J-6B	5.617374897003174	EleutherAI/gpt-j-6b	exp1
4	restr	singular	gram	e.restr.singular.gram	Was the mom excited by the bickering in the car?	no	The_mom	who	drove	with	the_kid	unsurprisingly	was	tired	of	all	the_bickering	in	the_car.	The mom who drove with the kid unsurprisingly was	GPT-J-6B	5.458526134490967	EleutherAI/gpt-j-6b	exp1
4	restr	plural	ungram	e.restr.plural.ungram	Was the mom excited by the bickering in the car?	no	The_mom	who	drove	with	the_kids	unsurprisingly	were	tired	of	all	the_bickering	in	the_car.	The mom who drove with the kids unsurprisingly were	GPT-J-6B	14.14956283569336	EleutherAI/gpt-j-6b	exp1
4	restr	singular	ungram	e.restr.singular.ungram	Was the mom excited by the bickering in the car?	no	The_mom	who	drove	with	the_kid	unsurprisingly	were	tired	of	all	the_bickering	in	the_car.	The mom who drove with the kid unsurprisingly were	GPT-J-6B	14.689519882202148	EleutherAI/gpt-j-6b	exp1
5	appos	plural	gram	e.appos.plural.gram	Was the kid in trouble?	yes	The_kid,	who	hid	behind	the_toys,	definitely	was	in	a	lot	of	trouble.		The kid, who hid behind the toys, definitely was	GPT-J-6B	4.173880100250244	EleutherAI/gpt-j-6b	exp1
5	appos	singular	gram	e.appos.singular.gram	Was the kid in trouble?	yes	The_kid,	who	hid	behind	the_toy,	definitely	was	in	a	lot	of	trouble.		The kid, who hid behind the toy, definitely was	GPT-J-6B	4.32663106918335	EleutherAI/gpt-j-6b	exp1
5	appos	plural	ungram	e.appos.plural.ungram	Was the kid in trouble?	yes	The_kid,	who	hid	behind	the_toys,	definitely	were	in	a	lot	of	trouble.		The kid, who hid behind the toys, definitely were	GPT-J-6B	13.179452896118164	EleutherAI/gpt-j-6b	exp1
5	appos	singular	ungram	e.appos.singular.ungram	Was the kid in trouble?	yes	The_kid,	who	hid	behind	the_toy,	definitely	were	in	a	lot	of	trouble.		The kid, who hid behind the toy, definitely were	GPT-J-6B	13.912663459777832	EleutherAI/gpt-j-6b	exp1
5	restr	plural	gram	e.restr.plural.gram	Was the kid in trouble?	yes	The_kid	who	hid	behind	the_toys	definitely	was	in	a	lot	of	trouble.		The kid who hid behind the toys definitely was	GPT-J-6B	5.140686511993408	EleutherAI/gpt-j-6b	exp1
5	restr	singular	gram	e.restr.singular.gram	Was the kid in trouble?	yes	The_kid	who	hid	behind	the_toy	definitely	was	in	a	lot	of	trouble.		The kid who hid behind the toy definitely was	GPT-J-6B	5.424183368682861	EleutherAI/gpt-j-6b	exp1
5	restr	plural	ungram	e.restr.plural.ungram	Was the kid in trouble?	yes	The_kid	who	hid	behind	the_toys	definitely	were	in	a	lot	of	trouble.		The kid who hid behind the toys definitely were	GPT-J-6B	13.853212356567385	EleutherAI/gpt-j-6b	exp1
5	restr	singular	ungram	e.restr.singular.ungram	Was the kid in trouble?	yes	The_kid	who	hid	behind	the_toy	definitely	were	in	a	lot	of	trouble.		The kid who hid behind the toy definitely were	GPT-J-6B	14.12543773651123	EleutherAI/gpt-j-6b	exp1
6	appos	plural	gram	e.appos.plural.gram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman,	who	patrolled	through	the_neighborhoods,	evidently	was	mentioned	in	the	newspaper.			The policeman, who patrolled through the neighborhoods, evidently was	GPT-J-6B	3.94751238822937	EleutherAI/gpt-j-6b	exp1
6	appos	singular	gram	e.appos.singular.gram	Was it the firefighter who was mentioned in the newspaper?	no	The_policeman,	who	patrolled	through	the_neighborhood,	evidently	was	mentioned	in	the	newspaper.			The policeman, who patrolled through the neighborhood, evidently was	GPT-J-6B	4.449598789215088	EleutherAI/gpt-j-6b	exp1
