ItemNo,Clause,Distractor,Grammaticality,Condition,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20
1,restr,plural,gram,e.restr.plural.gram,The,runners,who,the,driver,sees,during,the,commute,every,morning,always,wave,to,say,hi.,,,,
1,restr,singular,gram,e.restr.singular.gram,The,runner,who,the,driver,sees,during,the,commute,every,morning,always,waves,to,say,hi.,,,,
1,restr,plural,ungram,e.restr.plural.ungram,The,runners,who,the,driver,see,during,the,commute,every,morning,always,wave,to,say,hi.,,,,
1,restr,singular,ungram,e.restr.singular.ungram,The,runner,who,the,driver,see,during,the,commute,every,morning,always,waves,to,say,hi.,,,,
1,appos,plural,gram,e.appos.plural.gram,The,"runners,",who,the,driver,sees,during,the,commute,every,"morning,",always,wave,to,say,hi.,,,,
1,appos,singular,gram,e.appos.singular.gram,The,"runner,",who,the,driver,sees,during,the,commute,every,"morning,",always,waves,to,say,hi.,,,,
1,appos,plural,ungram,e.appos.plural.ungram,The,"runners,",who,the,driver,see,during,the,commute,every,"morning,",always,wave,to,say,hi.,,,,
1,appos,singular,ungram,e.appos.singular.ungram,The,"runner,",who,the,driver,see,during,the,commute,every,"morning,",always,waves,to,say,hi.,,,,
2,restr,plural,gram,e.restr.plural.gram,The,industrialists,who,the,activist,criticizes,harshly,always,put,profit,above,concern,for,the,environment.,,,,,
2,restr,singular,gram,e.restr.singular.gram,The,industrialist,who,the,activist,criticizes,harshly,always,puts,profit,above,concern,for,the,environment.,,,,,
2,restr,plural,ungram,e.restr.plural.ungram,The,industrialists,who,the,activist,criticize,harshly,always,put,profit,above,concern,for,the,environment.,,,,,
2,restr,singular,ungram,e.restr.singular.ungram,The,industrialist,who,the,activist,criticize,harshly,always,puts,profit,above,concern,for,the,environment.,,,,,
2,appos,plural,gram,e.appos.plural.gram,The,"industrialists,",who,the,activist,criticizes,"harshly,",always,put,profit,above,concern,for,the,environment.,,,,,
2,appos,singular,gram,e.appos.singular.gram,The,"industrialist,",who,the,activist,criticizes,"harshly,",always,puts,profit,above,concern,for,the,environment.,,,,,
2,appos,plural,ungram,e.appos.plural.ungram,The,"industrialists,",who,the,activist,criticize,"harshly,",always,put,profit,above,concern,for,the,environment.,,,,,
2,appos,singular,ungram,e.appos.singular.ungram,The,"industrialist,",who,the,activist,criticize,"harshly,",always,puts,profit,above,concern,for,the,environment.,,,,,
3,restr,plural,gram,e.restr.plural.gram,The,players,who,the,coach,likes,the,best,are,the,ones,who,always,get,to,practice,on,time.,,
3,restr,singular,gram,e.restr.singular.gram,The,player,who,the,coach,likes,the,best,is,the,one,who,always,gets,to,practice,on,time.,,
3,restr,plural,ungram,e.restr.plural.ungram,The,players,who,the,coach,like,the,best,are,the,ones,who,always,get,to,practice,on,time.,,
3,restr,singular,ungram,e.restr.singular.ungram,The,player,who,the,coach,like,the,best,is,the,one,who,always,gets,to,practice,on,time.,,
3,appos,plural,gram,e.appos.plural.gram,The,"players,",who,the,coach,likes,the,"best,",are,the,ones,who,always,get,to,practice,on,time.,,
3,appos,singular,gram,e.appos.singular.gram,The,"player,",who,the,coach,likes,the,"best,",is,the,one,who,always,gets,to,practice,on,time.,,
3,appos,plural,ungram,e.appos.plural.ungram,The,"players,",who,the,coach,like,the,"best,",are,the,ones,who,always,get,to,practice,on,time.,,
3,appos,singular,ungram,e.appos.singular.ungram,The,"player,",who,the,coach,like,the,"best,",is,the,one,who,always,gets,to,practice,on,time.,,
4,restr,plural,gram,e.restr.plural.gram,The,volunteers,who,the,director,relies,on,completely,are,dedicated,to,their,work.,,,,,,,
4,restr,singular,gram,e.restr.singular.gram,The,volunteer,who,the,director,relies,on,completely,is,dedicated,to,her,work.,,,,,,,
