ItemNo	Clause	Distractor	Grammaticality	Condition	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	sentence	model	modelname	surp	exp
1	restr	plural	gram	e.restr.plural.gram	Mike	chased	the	runners	who	the	driver	sees	during	the	commute	every	morning.					Mike chased the runners who the driver sees	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	12.326511681079865	exp3
1	restr	singular	gram	e.restr.singular.gram	Mike	chased	the	runner	who	the	driver	sees	during	the	commute	every	morning.					Mike chased the runner who the driver sees	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.77878424525261	exp3
1	restr	plural	ungram	e.restr.plural.ungram	Mike	chased	the	runners	who	the	driver	see	during	the	commute	every	morning.					Mike chased the runners who the driver see	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.57822322845459	exp3
1	restr	singular	ungram	e.restr.singular.ungram	Mike	chased	the	runner	who	the	driver	see	during	the	commute	every	morning.					Mike chased the runner who the driver see	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.507025718688965	exp3
1	appos	plural	gram	e.appos.plural.gram	Mike	chased	the	runners,	who	the	driver	sees	during	the	commute	every	morning.					Mike chased the runners, who the driver sees	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.220160514116287	exp3
1	appos	singular	gram	e.appos.singular.gram	Mike	chased	the	runner,	who	the	driver	sees	during	the	commute	every	morning.					Mike chased the runner, who the driver sees	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.371868073940275	exp3
1	appos	plural	ungram	e.appos.plural.ungram	Mike	chased	the	runners,	who	the	driver	see	during	the	commute	every	morning.					Mike chased the runners, who the driver see	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.068477630615234	exp3
1	appos	singular	ungram	e.appos.singular.ungram	Mike	chased	the	runner,	who	the	driver	see	during	the	commute	every	morning.					Mike chased the runner, who the driver see	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	11.299994468688965	exp3
2	restr	plural	gram	e.restr.plural.gram	Matt	hated	the	industrialists	who	the	activist	criticizes	harshly	all	the	time.						Matt hated the industrialists who the activist criticizes	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.894147425889969	exp3
2	restr	singular	gram	e.restr.singular.gram	Matt	hated	the	industrialist	who	the	activist	criticizes	harshly	all	the	time.						Matt hated the industrialist who the activist criticizes	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.80666932463646	exp3
2	restr	plural	ungram	e.restr.plural.ungram	Matt	hated	the	industrialists	who	the	activist	criticize	harshly	all	the	time.						Matt hated the industrialists who the activist criticize	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.39987850189209	exp3
2	restr	singular	ungram	e.restr.singular.ungram	Matt	hated	the	industrialist	who	the	activist	criticize	harshly	all	the	time.						Matt hated the industrialist who the activist criticize	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	14.649385929107666	exp3
2	appos	plural	gram	e.appos.plural.gram	Matt	hated	the	industrialists,	who	the	activist	criticizes	harshly	all	the	time.						Matt hated the industrialists, who the activist criticizes	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	13.89945238828659	exp3
2	appos	singular	gram	e.appos.singular.gram	Matt	hated	the	industrialist,	who	the	activist	criticizes	harshly	all	the	time.						Matt hated the industrialist, who the activist criticizes	GODEL-base	microsoft/GODEL-v1_1-base-seq2seq	12.95104607194662	exp3
